MW,LogP,HBA,HBD,RotBonds,AroRings,TPSA,HeavyAtoms,Heteroatoms
532.6190000000003,-0.556299999999994,7,6,14,2,193.90999999999997,37,12
546.6460000000004,-0.4678999999999949,8,5,14,2,182.91,38,12
531.6350000000002,-1.155599999999993,7,6,14,2,199.7,37,12
602.7140000000002,-0.8109999999999944,8,5,15,2,212.5,42,14
455.51500000000027,-0.9042999999999966,6,6,11,2,176.64000000000001,33,10
560.6730000000005,-0.07939999999999586,8,5,14,2,182.91,39,12
1603.002000000001,-4.866299999999959,20,22,54,2,674.9899999999999,114,39
588.6870000000001,-1.1531999999999938,8,6,15,2,221.29000000000002,41,14
560.6730000000005,-0.12569999999999543,8,4,14,2,174.12,39,12
1324.6080000000004,-5.791100000000002,18,18,27,2,564.7499999999999,92,35
1565.9430000000002,-5.646399999999969,21,21,39,2,648.9699999999999,109,40
546.6460000000004,-0.21409999999999524,7,5,14,2,185.12,38,12
545.6620000000004,-0.8133999999999928,7,5,14,2,190.91,38,12
408.4730000000002,3.3190000000000017,5,1,6,3,54.699999999999996,30,6
546.6460000000003,-0.16779999999999534,7,6,14,2,193.91,38,12
545.6620000000001,-0.7670999999999948,7,6,14,2,199.70000000000002,38,12
486.49000000000007,4.682700000000004,5,1,8,3,71.77000000000001,35,9
1565.9430000000002,-5.6463999999999785,21,21,39,2,648.9699999999999,109,40
1282.5270000000005,-6.817300000000009,18,18,25,2,564.7499999999999,89,35
802.886,-2.003099999999989,11,10,19,3,295.60999999999996,58,18
480.5740000000001,5.793000000000006,2,0,9,3,23.550000000000004,35,6
517.6200000000002,6.181880000000007,4,1,10,3,65.36,38,7
413.86100000000016,2.9090000000000016,6,1,3,3,76.56,29,8
374.46200000000005,0.7988999999999999,6,3,2,1,78.87,26,7
521.6520000000003,5.845500000000006,3,1,11,3,44.81,38,7
476.61100000000016,6.044000000000007,2,0,10,3,23.550000000000004,35,5
355.86900000000014,4.5408200000000045,4,1,3,3,41.29,25,5
461.5560000000001,5.8570000000000055,3,1,7,4,41.03,34,6
477.42600000000033,6.228800000000008,2,0,6,3,6.48,32,6
474.5570000000002,3.5925400000000023,5,3,6,3,113.09000000000002,35,7
398.4590000000001,1.92554,5,3,5,2,113.09000000000002,29,7
468.6670000000002,3.506240000000002,4,4,5,2,90.95,33,7
384.43200000000013,1.62254,5,4,4,2,124.09000000000002,28,7
444.5310000000002,3.583940000000002,4,3,5,3,103.86,33,6
423.6010000000002,3.468040000000002,4,3,6,2,78.59,31,5
398.4590000000001,1.92554,5,3,5,2,113.09000000000002,29,7
381.52000000000015,2.3939400000000006,4,2,5,2,69.8,28,5
462.5210000000002,3.723040000000002,4,3,5,3,103.86,34,7
488.65700000000015,4.230240000000003,4,4,6,3,90.95,35,7
450.5600000000002,3.6454400000000016,5,3,5,3,103.86,32,7
354.4500000000001,1.82464,4,3,4,2,86.79,26,5
394.5150000000002,3.0349400000000015,4,2,7,2,75.79,29,5
379.4640000000001,3.142640000000002,4,2,5,2,115.32000000000001,28,7
395.5070000000002,1.1057400000000013,4,4,5,2,130.96,29,7
457.5740000000002,3.262340000000001,4,3,6,3,95.66,34,6
368.4330000000001,1.91694,4,3,4,2,103.86,27,6
474.5570000000002,3.5925400000000023,5,3,6,3,113.09000000000002,35,7
437.58400000000023,2.9946400000000013,4,3,5,2,95.66,32,6
424.54500000000024,2.151439999999999,4,4,6,2,107.69000000000001,31,7
768.869,-1.6631999999999942,10,10,21,2,301.23999999999995,55,18
474.5570000000003,3.5925400000000014,5,3,6,3,113.09,35,7
