canonical_smiles,molecule_chembl_id,pchembl_value,standard_units,standard_value,units,value,Potency
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2F)cc1,CHEMBL126370,8.98,nM,1.04,nM,1.04,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(OC)cc2)cc1,CHEMBL339922,8.69,nM,2.04,nM,2.04,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(C(F)(F)F)c2)cc1,CHEMBL339898,9.20,nM,0.63,nM,0.63,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(C(C)=O)c2)cc1,CHEMBL129300,9.07,nM,0.86,nM,0.86,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)cc2)cc1,CHEMBL127007,8.38,nM,4.17,nM,4.17,Active
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)[C@@H](C)O)C(=O)N[C@@H](CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O)C(N)=O,CHEMBL1790709,8.47,nM,3.4,nM,3.4,Active
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)[C@@H](C)O)C(=O)N[C@@H](CO)C(N)=O,CHEMBL1790710,8.62,nM,2.4,nM,2.4,Active
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,CHEMBL80,6.82,nM,151.0,nM,151.0,Active
CC(C)(C)c1ccc(C(c2cccc(O)c2)N2CCN(Cc3ccccc3)CC2)cc1,CHEMBL143592,8.26,nM,5.51,nM,5.51,Active
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccc(Cl)cc2)C(=O)N[C@H]1C(=O)O,CHEMBL143939,8.81,nM,1.53,nM,1.53,Active
O=[N+]([O-])c1cc2c(cc1CN1CCC(n3c(O)nc4ccccc43)CC1)OCO2,CHEMBL324297,6.58,nM,264.0,nM,264.0,Active
O=[N+]([O-])c1cc2c(cc1CN1CC=C(n3c(O)nc4ccccc43)CC1)OCO2,CHEMBL115229,5.98,nM,1040.0,nM,1040.0,Active
O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC(n2c(O)nc3ccccc32)CC1,CHEMBL115444,5.60,nM,2530.0,nM,2530.0,Active
Cc1ccc2nc(O)n(C3CCN(Cc4cc5c(cc4Cl)OCO5)CC3)c2c1,CHEMBL420863,6.93,nM,117.0,nM,117.0,Active
Oc1nc2ccccc2n1CCCNCc1cc2c(cc1Cl)OCO2,CHEMBL114280,5.48,nM,3330.0,nM,3330.0,Active
